Experiment	bias spectroscopy	
Saved Date	01.01.2000 00:00:00	
User		
Date	01.01.2000 00:00:00	
X (m)	4.96447E-9	
Y (m)	6.49409E-9	
Z (m)	-173.056E-9	
Z offset (m)	0E+0	
Settling time (s)	800E-6	
Integration time (s)	6E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	01.01.2000 00:00:00	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	Current (A)	Input 6 (V)	Bias (V)	OC M1 Freq. Shift (Hz)	Current [bwd] (A)	Input 6 [bwd] (V)	Bias [bwd] (V)	OC M1 Freq. Shift [bwd] (Hz)
4.75300E-1	4.77627E-11	3.96058E-2	4.75300E-1	-2.25550E+1	4.46071E-11	3.68427E-2	4.75300E-1	-2.24182E+1
4.74650E-1	4.04513E-11	3.98567E-2	4.74650E-1	-2.23065E+1	5.02338E-11	3.61065E-2	4.74650E-1	-2.24881E+1
4.74000E-1	3.56583E-11	4.01500E-2	4.74000E-1	-2.23747E+1	5.03282E-11	3.48436E-2	4.74000E-1	-2.25172E+1
4.73350E-1	3.87749E-11	3.99611E-2	4.73350E-1	-2.23142E+1	4.41382E-11	3.34722E-2	4.73350E-1	-2.23196E+1
4.72700E-1	4.59163E-11	3.90442E-2	4.72700E-1	-2.25360E+1	3.78524E-11	3.27571E-2	4.72700E-1	-2.25456E+1
4.72050E-1	4.90328E-11	3.81711E-2	4.72050E-1	-2.22602E+1	3.88742E-11	3.30324E-2	4.72050E-1	-2.25303E+1
4.71400E-1	4.52363E-11	3.80697E-2	4.71400E-1	-2.24091E+1	4.62453E-11	3.37287E-2	4.71400E-1	-2.22442E+1
4.70750E-1	3.77938E-11	3.85891E-2	4.70750E-1	-2.25583E+1	5.09124E-11	3.42093E-2	4.70750E-1	-2.24388E+1
4.70100E-1	3.58722E-11	3.87900E-2	4.70100E-1	-2.24002E+1	4.95371E-11	3.41843E-2	4.70100E-1	-2.23596E+1
4.69450E-1	4.03462E-11	3.82478E-2	4.69450E-1	-2.24113E+1	4.20112E-11	3.40135E-2	4.69450E-1	-2.27241E+1
4.68800E-1	4.67354E-11	3.76337E-2	4.68800E-1	-2.22440E+1	3.74011E-11	3.46830E-2	4.68800E-1	-2.22056E+1
4.68150E-1	4.86365E-11	3.75055E-2	4.68150E-1	-2.20029E+1	4.09993E-11	3.59983E-2	4.68150E-1	-2.25698E+1
4.67500E-1	4.20781E-11	3.82200E-2	4.67500E-1	-2.26284E+1	4.82186E-11	3.70931E-2	4.67500E-1	-2.23182E+1
4.66850E-1	3.48109E-11	3.92237E-2	4.66850E-1	-2.22110E+1	5.13404E-11	3.72595E-2	4.66850E-1	-2.23335E+1
4.66200E-1	3.57423E-11	3.97195E-2	4.66200E-1	-2.24436E+1	4.64282E-11	3.67583E-2	4.66200E-1	-2.23948E+1
4.65550E-1	4.35634E-11	3.92770E-2	4.65550E-1	-2.26319E+1	3.94222E-11	3.61858E-2	4.65550E-1	-2.24034E+1
4.64900E-1	4.82240E-11	3.86237E-2	4.64900E-1	-2.24070E+1	3.81500E-11	3.65264E-2	4.64900E-1	-2.24729E+1
4.64250E-1	4.62094E-11	3.84957E-2	4.64250E-1	-2.22611E+1	4.44814E-11	3.75321E-2	4.64250E-1	-2.24548E+1
4.63600E-1	3.86852E-11	3.86475E-2	4.63600E-1	-2.24433E+1	5.07060E-11	3.83739E-2	4.63600E-1	-2.22562E+1
4.62950E-1	3.48412E-11	3.88291E-2	4.62950E-1	-2.28435E+1	4.98024E-11	3.82785E-2	4.62950E-1	-2.26092E+1
4.62300E-1	3.76736E-11	3.84790E-2	4.62300E-1	-2.23116E+1	4.37320E-11	3.75107E-2	4.62300E-1	-2.23147E+1
4.61650E-1	4.47470E-11	3.74841E-2	4.61650E-1	-2.22628E+1	3.79447E-11	3.72692E-2	4.61650E-1	-2.25863E+1
4.61000E-1	4.75501E-11	3.63421E-2	4.61000E-1	-2.26065E+1	3.94722E-11	3.78762E-2	4.61000E-1	-2.23220E+1
4.60350E-1	4.35732E-11	3.55649E-2	4.60350E-1	-2.24550E+1	4.64181E-11	3.90263E-2	4.60350E-1	-2.23631E+1
4.59700E-1	3.61767E-11	3.52384E-2	4.59700E-1	-2.23373E+1	5.08242E-11	3.94293E-2	4.59700E-1	-2.23315E+1
4.59050E-1	3.46872E-11	3.54839E-2	4.59050E-1	-2.23451E+1	4.76551E-11	3.91811E-2	4.59050E-1	-2.25447E+1
4.58400E-1	4.02514E-11	3.58477E-2	4.58400E-1	-2.22323E+1	4.09817E-11	3.87252E-2	4.58400E-1	-2.23949E+1
4.57750E-1	4.62305E-11	3.62167E-2	4.57750E-1	-2.24801E+1	3.74395E-11	3.89890E-2	4.57750E-1	-2.23730E+1
4.57100E-1	4.65539E-11	3.67149E-2	4.57100E-1	-2.21041E+1	4.11921E-11	4.00293E-2	4.57100E-1	-2.23419E+1
4.56450E-1	3.97815E-11	3.74164E-2	4.56450E-1	-2.24752E+1	4.87737E-11	4.10538E-2	4.56450E-1	-2.22282E+1
4.55800E-1	3.41602E-11	3.80753E-2	4.55800E-1	-2.21794E+1	5.05945E-11	4.11966E-2	4.55800E-1	-2.24204E+1
4.55150E-1	3.53962E-11	3.81420E-2	4.55150E-1	-2.22438E+1	4.57499E-11	4.04897E-2	4.55150E-1	-2.24135E+1
4.54500E-1	4.29108E-11	3.74644E-2	4.54500E-1	-2.26692E+1	3.84387E-11	3.97464E-2	4.54500E-1	-2.22062E+1
4.53850E-1	4.69333E-11	3.64799E-2	4.53850E-1	-2.20760E+1	3.74242E-11	3.94293E-2	4.53850E-1	-2.24264E+1
