Experiment	bias spectroscopy	
-14.7000E-3	-489.894E-12	4.20938E+0	-489.999E-12	4.14261E+0	-489.789E-12	4.27615E+0	-505.879E-12	4.43362E+0	-513.299E-12	4.41292E+0	-498.459E-12	4.45432E+0
-14.6250E-3	-494.886E-12	4.27143E+0	-504.726E-12	4.29602E+0	-485.046E-12	4.24685E+0	-504.533E-12	4.44682E+0	-508.430E-12	4.33171E+0	-500.635E-12	4.56194E+0
-14.5500E-3	-483.162E-12	4.17204E+0	-483.067E-12	4.16478E+0	-483.256E-12	4.17931E+0	-499.249E-12	4.31774E+0	-504.834E-12	4.30026E+0	-493.664E-12	4.33522E+0
-14.4750E-3	-483.636E-12	4.25406E+0	-484.906E-12	4.15680E+0	-482.366E-12	4.35133E+0	-497.331E-12	4.40297E+0	-505.219E-12	4.43036E+0	-489.443E-12	4.37557E+0
-14.4000E-3	-481.437E-12	4.14220E+0	-481.065E-12	4.19094E+0	-481.809E-12	4.09346E+0	-501.426E-12	4.31903E+0	-504.749E-12	4.32318E+0	-498.103E-12	4.31487E+0
-14.3250E-3	-477.215E-12	4.29695E+0	-479.049E-12	4.41614E+0	-475.380E-12	4.17776E+0	-493.962E-12	4.33085E+0	-497.912E-12	4.49512E+0	-490.012E-12	4.16658E+0
-14.2500E-3	-476.449E-12	4.06780E+0	-478.148E-12	4.24778E+0	-474.749E-12	3.88783E+0	-492.327E-12	4.39315E+0	-495.508E-12	4.46769E+0	-489.147E-12	4.31861E+0
-14.1750E-3	-470.871E-12	4.10431E+0	-472.326E-12	4.14993E+0	-469.415E-12	4.05870E+0	-492.692E-12	4.42452E+0	-497.813E-12	4.59004E+0	-487.571E-12	4.25899E+0
-14.1000E-3	-471.214E-12	4.11789E+0	-471.033E-12	4.16375E+0	-471.395E-12	4.07204E+0	-486.376E-12	4.43213E+0	-495.016E-12	4.43925E+0	-477.737E-12	4.42500E+0
-14.0250E-3	-470.112E-12	4.19544E+0	-467.764E-12	4.25117E+0	-472.461E-12	4.13972E+0	-484.768E-12	4.36384E+0	-488.956E-12	4.35989E+0	-480.581E-12	4.36778E+0
-13.9500E-3	-468.947E-12	4.19132E+0	-464.624E-12	4.15730E+0	-473.270E-12	4.22534E+0	-480.589E-12	4.32729E+0	-489.232E-12	4.41011E+0	-471.945E-12	4.24447E+0
-13.8750E-3	-462.828E-12	4.07911E+0	-461.325E-12	4.04920E+0	-464.330E-12	4.10902E+0	-480.037E-12	4.34631E+0	-484.823E-12	4.50273E+0	-475.251E-12	4.18988E+0
-13.8000E-3	-459.316E-12	4.13502E+0	-459.826E-12	4.16866E+0	-458.806E-12	4.10138E+0	-475.777E-12	4.39537E+0	-481.258E-12	4.41430E+0	-470.295E-12	4.37643E+0
-13.7250E-3	-454.410E-12	4.19092E+0	-454.442E-12	4.08273E+0	-454.378E-12	4.29910E+0	-471.100E-12	4.25588E+0	-477.143E-12	4.31233E+0	-465.057E-12	4.19943E+0
-13.6500E-3	-457.308E-12	4.20645E+0	-461.242E-12	4.24036E+0	-453.374E-12	4.17255E+0	-467.835E-12	4.23125E+0	-473.264E-12	4.21897E+0	-462.406E-12	4.24353E+0
-13.5750E-3	-454.110E-12	4.38574E+0	-459.326E-12	4.54018E+0	-448.893E-12	4.23130E+0	-464.635E-12	4.29526E+0	-472.183E-12	4.34566E+0	-457.087E-12	4.24486E+0
-13.5000E-3	-446.525E-12	4.31801E+0	-447.033E-12	4.31671E+0	-446.018E-12	4.31931E+0	-463.099E-12	4.30619E+0	-469.722E-12	4.39278E+0	-456.476E-12	4.21961E+0
-13.4250E-3	-443.157E-12	4.30717E+0	-443.385E-12	4.34584E+0	-442.928E-12	4.26850E+0	-463.044E-12	4.29171E+0	-465.229E-12	4.56737E+0	-460.859E-12	4.01605E+0
-13.3500E-3	-443.952E-12	4.39818E+0	-441.597E-12	4.29902E+0	-446.308E-12	4.49734E+0	-460.558E-12	4.16902E+0	-466.446E-12	4.33537E+0	-454.670E-12	4.00266E+0
-13.2750E-3	-445.008E-12	4.23012E+0	-444.739E-12	4.30276E+0	-445.277E-12	4.15748E+0	-456.746E-12	4.42580E+0	-467.683E-12	4.47625E+0	-445.809E-12	4.37535E+0
-13.2000E-3	-439.506E-12	4.32627E+0	-440.451E-12	4.37888E+0	-438.562E-12	4.27365E+0	-451.359E-12	4.55888E+0	-459.441E-12	4.50399E+0	-443.277E-12	4.61378E+0
-13.1250E-3	-438.550E-12	4.25288E+0	-439.648E-12	4.32107E+0	-437.453E-12	4.18468E+0	-450.845E-12	4.27814E+0	-461.431E-12	4.39005E+0	-440.260E-12	4.16624E+0
-13.0500E-3	-435.486E-12	4.31642E+0	-437.321E-12	4.41923E+0	-433.651E-12	4.21360E+0	-447.548E-12	4.30852E+0	-455.961E-12	4.50500E+0	-439.134E-12	4.11205E+0
-12.9750E-3	-433.126E-12	4.42007E+0	-436.764E-12	4.60336E+0	-429.489E-12	4.23677E+0	-444.009E-12	4.34326E+0	-447.897E-12	4.48402E+0	-440.121E-12	4.20250E+0
-12.9000E-3	-433.254E-12	4.20961E+0	-439.181E-12	4.31812E+0	-427.327E-12	4.10109E+0	-440.092E-12	4.44968E+0	-447.082E-12	4.50014E+0	-433.102E-12	4.39921E+0
-12.8250E-3	-426.576E-12	4.26398E+0	-430.889E-12	4.33419E+0	-422.263E-12	4.19377E+0	-437.960E-12	4.35746E+0	-446.649E-12	4.41103E+0	-429.271E-12	4.30389E+0
-12.7500E-3	-436.203E-12	4.29867E+0	-445.798E-12	4.39255E+0	-426.607E-12	4.20478E+0	-437.074E-12	4.54021E+0	-447.185E-12	4.57125E+0	-426.963E-12	4.50917E+0
-12.6750E-3	-423.551E-12	4.30574E+0	-427.869E-12	4.27514E+0	-419.232E-12	4.33633E+0	-435.344E-12	4.58024E+0	-443.719E-12	4.65510E+0	-426.969E-12	4.50538E+0
-12.6000E-3	-420.016E-12	4.23445E+0	-422.679E-12	4.13412E+0	-417.353E-12	4.33478E+0	-432.436E-12	4.48123E+0	-439.667E-12	4.71940E+0	-425.204E-12	4.24305E+0
-12.5250E-3	-418.050E-12	4.27124E+0	-419.941E-12	4.35862E+0	-416.159E-12	4.18385E+0	-428.904E-12	4.35588E+0	-433.752E-12	4.47478E+0	-424.056E-12	4.23698E+0
-12.4500E-3	-413.736E-12	4.24828E+0	-416.941E-12	4.26306E+0	-410.531E-12	4.23349E+0	-423.093E-12	4.46813E+0	-428.618E-12	4.35170E+0	-417.569E-12	4.58456E+0
-12.3750E-3	-414.748E-12	4.40271E+0	-413.841E-12	4.45546E+0	-415.655E-12	4.34995E+0	-424.711E-12	4.48299E+0	-427.923E-12	4.41271E+0	-421.500E-12	4.55328E+0
-12.3000E-3	-411.318E-12	4.44326E+0	-413.313E-12	4.59512E+0	-409.322E-12	4.29139E+0	-420.836E-12	4.61540E+0	-427.250E-12	4.55927E+0	-414.423E-12	4.67153E+0
-12.2250E-3	-407.360E-12	4.43481E+0	-406.894E-12	4.28156E+0	-407.826E-12	4.58807E+0	-420.783E-12	4.50022E+0	-425.130E-12	4.47205E+0	-416.436E-12	4.52839E+0
-12.1500E-3	-406.393E-12	4.29041E+0	-404.786E-12	4.17375E+0	-408.001E-12	4.40707E+0	-421.376E-12	4.49559E+0	-423.130E-12	4.41730E+0	-419.621E-12	4.57388E+0
-12.0750E-3	-403.436E-12	4.26494E+0	-403.764E-12	4.18448E+0	-403.108E-12	4.34539E+0	-415.761E-12	4.64144E+0	-417.962E-12	4.47590E+0	-413.559E-12	4.80699E+0
-12.0000E-3	-398.781E-12	4.37891E+0	-399.568E-12	4.30634E+0	-397.993E-12	4.45148E+0	-409.087E-12	4.41966E+0	-413.431E-12	4.43693E+0	-404.743E-12	4.40239E+0
-11.9250E-3	-395.415E-12	4.39677E+0	-397.005E-12	4.31526E+0	-393.824E-12	4.47827E+0	-408.450E-12	4.41583E+0	-417.298E-12	4.48889E+0	-399.601E-12	4.34277E+0
-11.8500E-3	-396.585E-12	4.54655E+0	-399.382E-12	4.43476E+0	-393.787E-12	4.65834E+0	-404.050E-12	4.47944E+0	-411.968E-12	4.60389E+0	-396.131E-12	4.35500E+0
-11.7750E-3	-391.686E-12	4.34310E+0	-394.868E-12	4.23792E+0	-388.504E-12	4.44827E+0	-399.661E-12	4.37690E+0	-406.660E-12	4.57903E+0	-392.662E-12	4.17477E+0
-11.7000E-3	-388.146E-12	4.26826E+0	-392.007E-12	4.16993E+0	-384.286E-12	4.36659E+0	-399.566E-12	4.56245E+0	-402.760E-12	4.64497E+0	-396.371E-12	4.47994E+0
-11.6250E-3	-385.902E-12	4.41965E+0	-388.493E-12	4.44470E+0	-383.310E-12	4.39459E+0	-394.663E-12	4.50138E+0	-400.970E-12	4.59676E+0	-388.355E-12	4.40599E+0
-11.5500E-3	-384.103E-12	4.35560E+0	-384.675E-12	4.43179E+0	-383.531E-12	4.27940E+0	-391.075E-12	4.47824E+0	-398.624E-12	4.53933E+0	-383.527E-12	4.41714E+0
-11.4750E-3	-378.196E-12	4.37805E+0	-379.637E-12	4.47490E+0	-376.756E-12	4.28120E+0	-391.432E-12	4.42340E+0	-397.746E-12	4.57877E+0	-385.117E-12	4.26803E+0
-11.4000E-3	-377.832E-12	4.46497E+0	-379.044E-12	4.44975E+0	-376.619E-12	4.48018E+0	-387.281E-12	4.47627E+0	-392.495E-12	4.60344E+0	-382.068E-12	4.34910E+0
-11.3250E-3	-373.801E-12	4.43892E+0	-375.021E-12	4.47243E+0	-372.581E-12	4.40540E+0	-383.216E-12	4.51296E+0	-388.095E-12	4.59250E+0	-378.336E-12	4.43342E+0
-11.2500E-3	-370.749E-12	4.31974E+0	-373.331E-12	4.38830E+0	-368.168E-12	4.25117E+0	-381.711E-12	4.55488E+0	-389.365E-12	4.59777E+0	-374.057E-12	4.51200E+0
-11.1750E-3	-370.447E-12	4.36833E+0	-371.714E-12	4.39642E+0	-369.181E-12	4.34024E+0	-379.753E-12	4.41187E+0	-383.585E-12	4.65587E+0	-375.921E-12	4.16787E+0
-11.1000E-3	-367.508E-12	4.50431E+0	-368.381E-12	4.48882E+0	-366.634E-12	4.51979E+0	-380.063E-12	4.53188E+0	-389.581E-12	4.78689E+0	-370.544E-12	4.27686E+0
-11.0250E-3	-365.142E-12	4.42664E+0	-369.018E-12	4.49390E+0	-361.266E-12	4.35938E+0	-377.895E-12	4.50184E+0	-389.022E-12	4.53227E+0	-366.768E-12	4.47141E+0
-10.9500E-3	-365.954E-12	4.36844E+0	-366.135E-12	4.55076E+0	-365.773E-12	4.18612E+0	-371.030E-12	4.52451E+0	-377.251E-12	4.52977E+0	-364.809E-12	4.51924E+0
-10.8750E-3	-361.857E-12	4.43645E+0	-363.188E-12	4.50458E+0	-360.527E-12	4.36831E+0	-367.410E-12	4.56421E+0	-373.694E-12	4.58035E+0	-361.126E-12	4.54807E+0
-10.8000E-3	-356.205E-12	4.38310E+0	-358.228E-12	4.51075E+0	-354.181E-12	4.25545E+0	-366.859E-12	4.59869E+0	-373.113E-12	4.62231E+0	-360.605E-12	4.57506E+0
-10.7250E-3	-356.880E-12	4.47377E+0	-358.449E-12	4.60603E+0	-355.312E-12	4.34151E+0	-361.281E-12	4.65906E+0	-366.047E-12	4.60935E+0	-356.515E-12	4.70877E+0
-10.6500E-3	-350.630E-12	4.43910E+0	-352.332E-12	4.45968E+0	-348.927E-12	4.41852E+0	-358.691E-12	4.58607E+0	-364.284E-12	4.64516E+0	-353.099E-12	4.52698E+0
-10.5750E-3	-347.699E-12	4.32111E+0	-351.122E-12	4.34006E+0	-344.277E-12	4.30217E+0	-356.607E-12	4.43362E+0	-362.757E-12	4.58170E+0	-350.456E-12	4.28553E+0
-10.5000E-3	-344.780E-12	4.30743E+0	-347.092E-12	4.30848E+0	-342.467E-12	4.30638E+0	-355.331E-12	4.60101E+0	-361.841E-12	4.78074E+0	-348.822E-12	4.42129E+0
-10.4250E-3	-341.943E-12	4.43880E+0	-345.095E-12	4.48130E+0	-338.791E-12	4.39629E+0	-351.155E-12	4.66013E+0	-357.644E-12	4.74254E+0	-344.667E-12	4.57772E+0
-10.3500E-3	-341.176E-12	4.54315E+0	-344.360E-12	4.67836E+0	-337.993E-12	4.40794E+0	-350.202E-12	4.52011E+0	-355.419E-12	4.57842E+0	-344.985E-12	4.46179E+0
-10.2750E-3	-336.156E-12	4.47024E+0	-338.718E-12	4.44797E+0	-333.593E-12	4.49251E+0	-347.486E-12	4.53944E+0	-350.814E-12	4.60753E+0	-344.159E-12	4.47135E+0
